0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0.5404365,0.7049396,0.34473452,0.5353862,0.7191352,0.750312,0.53251874,0.71737236,0.70069087,0.50393486,0.7057587,0.5528821,0.49685118,0.6995353,0.41352567,0.49556017,0.64867556,0.56207126,0.49902445,0.64591014,0.6101736,0.5824624,0.6644554,0.47470054,0.60541093,0.67140794,0.8110252,0.58157104,0.7467129,0.4220909,0.59047526,0.75088966,0.4493607,0.42999882,0.46319723,0.5164468,0.4324661,0.4623623,0.4879803,0.5638206,0.41233128,0.6427874,0.57165587,0.4093245,0.60212684,0.5303473,0.27631325,0.53421295,0.5369402,0.2679131,0.5275506,0.0
0.54036075,0.70709103,0.4519276,0.5341094,0.7169787,0.73263043,0.53125995,0.7154986,0.6533847,0.5035523,0.70484114,0.5324573,0.49661812,0.69881165,0.40112337,0.494936,0.64782447,0.5637739,0.49869713,0.6468368,0.621491,0.5862454,0.66683143,0.49285877,0.60420704,0.672027,0.81844467,0.58167607,0.74611396,0.41575563,0.59036225,0.7493636,0.45789784,0.42868567,0.4601968,0.53670675,0.43133113,0.45970243,0.5096837,0.5632962,0.40932065,0.63801295,0.5715815,0.40703353,0.5996652,0.5300461,0.27634656,0.56833565,0.5387006,0.26606965,0.5357498,0.0
0.539652,0.7076262,0.45958087,0.5331018,0.7173674,0.7324769,0.5304542,0.7154777,0.64519584,0.50336134,0.70441175,0.51430255,0.50080615,0.7035767,0.6313073,0.49598524,0.64700145,0.5563623,0.5002072,0.6467007,0.59377146,0.5862211,0.66624653,0.5107268,0.6042267,0.67130274,0.8092764,0.581403,0.7453759,0.42123172,0.5910543,0.7481939,0.45356816,0.42992818,0.46008676,0.5536826,0.43210125,0.4593006,0.5262063,0.56456083,0.41054428,0.6601017,0.5726978,0.40829468,0.5987257,0.5288173,0.277683,0.5888085,0.5382747,0.26848018,0.56937975,0.0
0.53932416,0.70787096,0.4710174,0.53288734,0.71780455,0.72838557,0.5301522,0.7157511,0.638207,0.5031604,0.70481396,0.52393514,0.50065255,0.7036239,0.643527,0.4950599,0.64720064,0.5595919,0.49991554,0.6468223,0.59475976,0.5854579,0.6658318,0.4961724,0.6035973,0.6709999,0.8132337,0.58109623,0.7460894,0.41750544,0.59075785,0.7502742,0.47219816,0.42840135,0.45978674,0.5408317,0.4311392,0.45928222,0.51596785,0.56462526,0.41081747,0.656996,0.57325464,0.4090823,0.5919555,0.5292877,0.27659053,0.5805905,0.5390401,0.2662432,0.5571918,0.0
0.5385132,0.70841026,0.50253063,0.53187335,0.7185155,0.7254051,0.5292471,0.7164049,0.64360464,0.50212085,0.7050435,0.51033837,0.49987453,0.703467,0.6612314,0.49511635,0.6483781,0.5670241,0.495964,0.64640784,0.4583425,0.58518946,0.6659988,0.48214525,0.60462797,0.67093486,0.8157425,0.58111036,0.74530065,0.42729598,0.5913612,0.7486934,0.4640222,0.42763758,0.46032476,0.5290062,0.43100822,0.45950243,0.5102917,0.564332,0.41194355,0.66742766,0.57346606,0.4092815,0.5926727,0.5286992,0.2775287,0.58667064,0.53989923,0.2665076,0.5557477,0.0
0.5384225,0.7105942,0.5284215,0.53120077,0.72102785,0.69313955,0.5284736,0.7177958,0.6368162,0.50215334,0.70669436,0.5286662,0.49957845,0.7045223,0.6514291,0.49645934,0.6501723,0.55065864,0.496894,0.6470081,0.45110783,0.5795795,0.66454077,0.43800578,0.60423565,0.6723697,0.8174594,0.5786903,0.74732304,0.510479,0.5894099,0.7493846,0.44127232,0.42770466,0.460819,0.5193587,0.4310381,0.4602474,0.49716374,0.56459814,0.41520724,0.64142084,0.5736798,0.41149712,0.6139013,0.5281033,0.2778759,0.55205184,0.53970647,0.26682717,0.5347074,0.0
0.5388699,0.70814675,0.49177423,0.53182846,0.7185373,0.7232909,0.5294433,0.71578306,0.635707,0.5023589,0.7058584,0.5202914,0.5000468,0.70413345,0.649125,0.49567044,0.6506897,0.5540308,0.50049436,0.64668363,0.5833632,0.57918286,0.6648909,0.42898202,0.6040764,0.6722447,0.8152135,0.5803106,0.7474289,0.40366116,0.59024346,0.748608,0.4628295,0.42774004,0.46030053,0.5216904,0.43098086,0.45938504,0.51075894,0.5638194,0.41501912,0.6314365,0.5734225,0.41081643,0.6208886,0.52768177,0.27897725,0.5467272,0.5385425,0.2665226,0.5534814,0.0
0.5387292,0.710027,0.50937504,0.53170395,0.7203383,0.7010496,0.5291897,0.71724904,0.638164,0.5029541,0.7062768,0.5230491,0.5003103,0.70436203,0.64329493,0.4968899,0.6506359,0.55312437,0.4971994,0.64748365,0.46116444,0.580567,0.6650424,0.43580598,0.6042778,0.67308277,0.8133338,0.58010256,0.74672717,0.50039905,0.5897645,0.7485239,0.434278,0.4281767,0.45905435,0.55672556,0.43162212,0.45828018,0.54308015,0.56473815,0.41353726,0.6571401,0.5744353,0.4102628,0.60015535,0.5277295,0.27894408,0.57009566,0.53869283,0.26482737,0.5382303,0.0
0.53922606,0.7102308,0.50624824,0.53186125,0.7206146,0.71062136,0.5292921,0.7172531,0.65192443,0.5025893,0.7066456,0.53061205,0.50000936,0.70394063,0.65123636,0.4968453,0.6506427,0.54282624,0.49663478,0.6461515,0.44396928,0.5792656,0.6629703,0.43194333,0.60285157,0.67098105,0.80164117,0.58000636,0.74747586,0.5066208,0.5902483,0.74852365,0.45865774,0.42935014,0.4590646,0.5584416,0.43258643,0.4584607,0.53776497,0.56579095,0.4173935,0.6436169,0.5752785,0.4126053,0.58897364,0.5308599,0.28458494,0.5059709,0.5397356,0.2673698,0.5579308,0.0
0.5406137,0.70991176,0.47247696,0.5333736,0.71965206,0.732069,0.5306807,0.71683943,0.6700276,0.50410396,0.7054157,0.52618855,0.50126237,0.70290303,0.6311915,0.49746513,0.64898926,0.5396704,0.49892002,0.6462484,0.46566084,0.58337104,0.66618204,0.4524222,0.60270905,0.672557,0.79895216,0.5812982,0.74543226,0.4037248,0.59038454,0.74716437,0.45245793,0.43053466,0.4593317,0.57519346,0.4339342,0.45831108,0.56383014,0.56521165,0.414801,0.6528399,0.57517546,0.41134226,0.5929275,0.52801234,0.28043586,0.5521192,0.5390193,0.26698124,0.5671033,0.0
